archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,3.0,z_plus_orth,0.001,500,0.004
round_number,0.5,z_plus,0.05,500,0.056
round_number,0.5,z_plus,0.01,500,0.012
round_number,0.5,z_plus,0.001,500,0.006
round_number,0.5,z_plus_renorm,0.05,497,0.028169014084507
round_number,0.5,z_plus_renorm,0.01,497,0.0060362173038229
round_number,0.5,z_plus_renorm,0.001,497,0.0020120724346076
round_number,0.5,breadth,0.05,500,0.016
round_number,0.5,breadth,0.01,500,0.0
round_number,0.5,breadth,0.001,500,0.0
round_number,0.5,z_mahalanobis_sq,0.05,500,0.044
round_number,0.5,z_mahalanobis_sq,0.01,500,0.012
round_number,0.5,z_mahalanobis_sq,0.001,500,0.0
round_number,0.5,t_iut,0.05,500,0.066
round_number,0.5,t_iut,0.01,500,0.012
round_number,0.5,t_iut,0.001,500,0.004
round_number,0.5,z_plus_softmax,0.05,497,0.0764587525150905
round_number,0.5,z_plus_softmax,0.01,497,0.0684104627766599
round_number,0.5,z_plus_softmax,0.001,497,0.0684104627766599
round_number,0.5,z_plus_orth,0.05,497,0.0804828973843058
round_number,0.5,z_plus_orth,0.01,497,0.0684104627766599
round_number,0.5,z_plus_orth,0.001,497,0.0684104627766599
round_number,1.0,z_plus,0.05,500,0.108
round_number,1.0,z_plus,0.01,500,0.04
round_number,1.0,z_plus,0.001,500,0.008
round_number,1.0,z_plus_renorm,0.05,500,0.056
round_number,1.0,z_plus_renorm,0.01,500,0.01
round_number,1.0,z_plus_renorm,0.001,500,0.004
round_number,1.0,breadth,0.05,500,0.038
round_number,1.0,breadth,0.01,500,0.0
round_number,1.0,breadth,0.001,500,0.0
round_number,1.0,z_mahalanobis_sq,0.05,500,0.094
round_number,1.0,z_mahalanobis_sq,0.01,500,0.018
round_number,1.0,z_mahalanobis_sq,0.001,500,0.0
round_number,1.0,t_iut,0.05,500,0.108
round_number,1.0,t_iut,0.01,500,0.03
round_number,1.0,t_iut,0.001,500,0.008
round_number,1.0,z_plus_softmax,0.05,500,0.118
round_number,1.0,z_plus_softmax,0.01,500,0.108
round_number,1.0,z_plus_softmax,0.001,500,0.104
round_number,1.0,z_plus_orth,0.05,500,0.124
round_number,1.0,z_plus_orth,0.01,500,0.108
round_number,1.0,z_plus_orth,0.001,500,0.106
round_number,1.5,z_plus,0.05,500,0.11
round_number,1.5,z_plus,0.01,500,0.022
round_number,1.5,z_plus,0.001,500,0.0
round_number,1.5,z_plus_renorm,0.05,500,0.048
round_number,1.5,z_plus_renorm,0.01,500,0.006
round_number,1.5,z_plus_renorm,0.001,500,0.0
round_number,1.5,breadth,0.05,500,0.022
round_number,1.5,breadth,0.01,500,0.0
round_number,1.5,breadth,0.001,500,0.0
round_number,1.5,z_mahalanobis_sq,0.05,500,0.092
round_number,1.5,z_mahalanobis_sq,0.01,500,0.004
round_number,1.5,z_mahalanobis_sq,0.001,500,0.002
round_number,1.5,t_iut,0.05,500,0.114
round_number,1.5,t_iut,0.01,500,0.018
round_number,1.5,t_iut,0.001,500,0.006
round_number,1.5,z_plus_softmax,0.05,500,0.094
round_number,1.5,z_plus_softmax,0.01,500,0.084
round_number,1.5,z_plus_softmax,0.001,500,0.084
round_number,1.5,z_plus_orth,0.05,500,0.092
round_number,1.5,z_plus_orth,0.01,500,0.084
round_number,1.5,z_plus_orth,0.001,500,0.084
round_number,2.0,z_plus,0.05,500,0.202
round_number,2.0,z_plus,0.01,500,0.062
round_number,2.0,z_plus,0.001,500,0.006
round_number,2.0,z_plus_renorm,0.05,500,0.086
