archetype,delta,detector,alpha,n_finite,flag_rate
temporal_smoothing,1.5,z3,0.01,500,0.002
temporal_smoothing,1.5,z3,0.001,500,0.0
temporal_smoothing,1.5,z4,0.05,500,0.036
temporal_smoothing,1.5,z4,0.01,500,0.002
temporal_smoothing,1.5,z4,0.001,500,0.002
temporal_smoothing,1.5,z6,0.05,500,0.6
temporal_smoothing,1.5,z6,0.01,500,0.47
temporal_smoothing,1.5,z6,0.001,500,0.334
temporal_smoothing,1.5,z8,0.05,500,0.052
temporal_smoothing,1.5,z8,0.01,500,0.008
temporal_smoothing,1.5,z8,0.001,500,0.002
temporal_smoothing,1.5,z57,0.05,500,0.04
temporal_smoothing,1.5,z57,0.01,500,0.012
temporal_smoothing,1.5,z57,0.001,500,0.012
temporal_smoothing,2.0,z1,0.05,500,0.07
temporal_smoothing,2.0,z1,0.01,500,0.07
temporal_smoothing,2.0,z1,0.001,500,0.07
temporal_smoothing,2.0,z2,0.05,500,0.224
temporal_smoothing,2.0,z2,0.01,500,0.146
temporal_smoothing,2.0,z2,0.001,500,0.098
temporal_smoothing,2.0,z3,0.05,500,0.044
temporal_smoothing,2.0,z3,0.01,500,0.006
temporal_smoothing,2.0,z3,0.001,500,0.0
temporal_smoothing,2.0,z4,0.05,500,0.03
temporal_smoothing,2.0,z4,0.01,500,0.002
temporal_smoothing,2.0,z4,0.001,500,0.0
temporal_smoothing,2.0,z6,0.05,500,0.726
temporal_smoothing,2.0,z6,0.01,500,0.58
temporal_smoothing,2.0,z6,0.001,500,0.412
temporal_smoothing,2.0,z8,0.05,500,0.052
temporal_smoothing,2.0,z8,0.01,500,0.004
temporal_smoothing,2.0,z8,0.001,500,0.0
temporal_smoothing,2.0,z57,0.05,500,0.038
temporal_smoothing,2.0,z57,0.01,500,0.008
temporal_smoothing,2.0,z57,0.001,500,0.004
temporal_smoothing,3.0,z1,0.05,500,0.088
temporal_smoothing,3.0,z1,0.01,500,0.088
temporal_smoothing,3.0,z1,0.001,500,0.088
temporal_smoothing,3.0,z2,0.05,500,0.238
temporal_smoothing,3.0,z2,0.01,500,0.148
temporal_smoothing,3.0,z2,0.001,500,0.086
temporal_smoothing,3.0,z3,0.05,500,0.038
temporal_smoothing,3.0,z3,0.01,500,0.01
temporal_smoothing,3.0,z3,0.001,500,0.0
temporal_smoothing,3.0,z4,0.05,500,0.016
temporal_smoothing,3.0,z4,0.01,500,0.002
temporal_smoothing,3.0,z4,0.001,500,0.0
temporal_smoothing,3.0,z6,0.05,500,0.902
temporal_smoothing,3.0,z6,0.01,500,0.778
temporal_smoothing,3.0,z6,0.001,500,0.624
temporal_smoothing,3.0,z8,0.05,500,0.046
temporal_smoothing,3.0,z8,0.01,500,0.004
temporal_smoothing,3.0,z8,0.001,500,0.002
temporal_smoothing,3.0,z57,0.05,500,0.052
temporal_smoothing,3.0,z57,0.01,500,0.012
temporal_smoothing,3.0,z57,0.001,500,0.008
peer_gaming,0.5,z1,0.05,500,0.072
peer_gaming,0.5,z1,0.01,500,0.072
peer_gaming,0.5,z1,0.001,500,0.072
peer_gaming,0.5,z2,0.05,500,0.25
peer_gaming,0.5,z2,0.01,500,0.166
peer_gaming,0.5,z2,0.001,500,0.116
peer_gaming,0.5,z3,0.05,500,0.106
peer_gaming,0.5,z3,0.01,500,0.032
peer_gaming,0.5,z3,0.001,500,0.0
peer_gaming,0.5,z4,0.05,500,0.124
peer_gaming,0.5,z4,0.01,500,0.024
peer_gaming,0.5,z4,0.001,500,0.002
peer_gaming,0.5,z6,0.05,500,0.324
peer_gaming,0.5,z6,0.01,500,0.252
peer_gaming,0.5,z6,0.001,500,0.192
peer_gaming,0.5,z8,0.05,500,0.042
peer_gaming,0.5,z8,0.01,500,0.006
peer_gaming,0.5,z8,0.001,500,0.0
peer_gaming,0.5,z57,0.05,500,0.108
peer_gaming,0.5,z57,0.01,500,0.038
peer_gaming,0.5,z57,0.001,500,0.008
peer_gaming,1.0,z1,0.05,500,0.082
peer_gaming,1.0,z1,0.01,500,0.082
peer_gaming,1.0,z1,0.001,500,0.082
peer_gaming,1.0,z2,0.05,500,0.246
peer_gaming,1.0,z2,0.01,500,0.154
peer_gaming,1.0,z2,0.001,500,0.09
peer_gaming,1.0,z3,0.05,500,0.226
peer_gaming,1.0,z3,0.01,500,0.09
peer_gaming,1.0,z3,0.001,500,0.018
peer_gaming,1.0,z4,0.05,500,0.22
