archetype,delta,composite,alpha,n_finite,detection_rate
round_number,3.0,z_plus_softmax,0.01,500,0.186
round_number,3.0,z_plus_softmax,0.001,500,0.186
round_number,3.0,z_plus_orth,0.05,500,0.196
round_number,3.0,z_plus_orth,0.01,500,0.19
round_number,3.0,z_plus_orth,0.001,500,0.186
temporal_smoothing,0.5,z_plus,0.05,500,0.052
temporal_smoothing,0.5,z_plus,0.01,500,0.01
temporal_smoothing,0.5,z_plus,0.001,500,0.0
temporal_smoothing,0.5,z_plus_renorm,0.05,498,0.0502008032128514
temporal_smoothing,0.5,z_plus_renorm,0.01,498,0.0040160642570281
temporal_smoothing,0.5,z_plus_renorm,0.001,498,0.0
temporal_smoothing,0.5,breadth,0.05,500,0.004
temporal_smoothing,0.5,breadth,0.01,500,0.004
temporal_smoothing,0.5,breadth,0.001,500,0.0
temporal_smoothing,0.5,z_mahalanobis_sq,0.05,500,0.048
temporal_smoothing,0.5,z_mahalanobis_sq,0.01,500,0.006
temporal_smoothing,0.5,z_mahalanobis_sq,0.001,500,0.0
temporal_smoothing,0.5,t_iut,0.05,500,0.05
temporal_smoothing,0.5,t_iut,0.01,500,0.004
temporal_smoothing,0.5,t_iut,0.001,500,0.0
temporal_smoothing,0.5,z_plus_softmax,0.05,498,0.1244979919678714
temporal_smoothing,0.5,z_plus_softmax,0.01,498,0.0983935742971887
temporal_smoothing,0.5,z_plus_softmax,0.001,498,0.0943775100401606
temporal_smoothing,0.5,z_plus_orth,0.05,498,0.1204819277108433
temporal_smoothing,0.5,z_plus_orth,0.01,498,0.0943775100401606
temporal_smoothing,0.5,z_plus_orth,0.001,498,0.0943775100401606
temporal_smoothing,1.0,z_plus,0.05,500,0.08
temporal_smoothing,1.0,z_plus,0.01,500,0.006
temporal_smoothing,1.0,z_plus,0.001,500,0.0
temporal_smoothing,1.0,z_plus_renorm,0.05,497,0.0442655935613682
temporal_smoothing,1.0,z_plus_renorm,0.01,497,0.0100603621730382
temporal_smoothing,1.0,z_plus_renorm,0.001,497,0.0
temporal_smoothing,1.0,breadth,0.05,500,0.012
temporal_smoothing,1.0,breadth,0.01,500,0.012
temporal_smoothing,1.0,breadth,0.001,500,0.0
temporal_smoothing,1.0,z_mahalanobis_sq,0.05,500,0.06
temporal_smoothing,1.0,z_mahalanobis_sq,0.01,500,0.006
temporal_smoothing,1.0,z_mahalanobis_sq,0.001,500,0.0
temporal_smoothing,1.0,t_iut,0.05,500,0.078
temporal_smoothing,1.0,t_iut,0.01,500,0.018
temporal_smoothing,1.0,t_iut,0.001,500,0.0
temporal_smoothing,1.0,z_plus_softmax,0.05,497,0.1026156941649899
temporal_smoothing,1.0,z_plus_softmax,0.01,497,0.0885311871227364
