archetype,delta,detector,alpha,n_finite,flag_rate
temporal_smoothing,3.0,z57,0.001,500,0.014
peer_gaming,0.5,z1,0.05,500,0.038
peer_gaming,0.5,z1,0.01,500,0.038
peer_gaming,0.5,z1,0.001,500,0.038
peer_gaming,0.5,z2,0.05,500,0.246
peer_gaming,0.5,z2,0.01,500,0.154
peer_gaming,0.5,z2,0.001,500,0.106
peer_gaming,0.5,z3,0.05,500,0.08
peer_gaming,0.5,z3,0.01,500,0.032
peer_gaming,0.5,z3,0.001,500,0.006
peer_gaming,0.5,z4,0.05,500,0.1
peer_gaming,0.5,z4,0.01,500,0.008
peer_gaming,0.5,z4,0.001,500,0.002
peer_gaming,0.5,z6,0.05,500,0.38
peer_gaming,0.5,z6,0.01,500,0.296
peer_gaming,0.5,z6,0.001,500,0.234
peer_gaming,0.5,z8,0.05,500,0.04
peer_gaming,0.5,z8,0.01,500,0.01
peer_gaming,0.5,z8,0.001,500,0.002
peer_gaming,0.5,z57,0.05,500,0.1
peer_gaming,0.5,z57,0.01,500,0.024
peer_gaming,0.5,z57,0.001,500,0.02
peer_gaming,1.0,z1,0.05,500,0.028
peer_gaming,1.0,z1,0.01,500,0.028
peer_gaming,1.0,z1,0.001,500,0.028
peer_gaming,1.0,z2,0.05,500,0.222
peer_gaming,1.0,z2,0.01,500,0.142
peer_gaming,1.0,z2,0.001,500,0.092
peer_gaming,1.0,z3,0.05,500,0.234
peer_gaming,1.0,z3,0.01,500,0.082
peer_gaming,1.0,z3,0.001,500,0.012
peer_gaming,1.0,z4,0.05,500,0.23
peer_gaming,1.0,z4,0.01,500,0.092
peer_gaming,1.0,z4,0.001,500,0.014
peer_gaming,1.0,z6,0.05,500,0.396
peer_gaming,1.0,z6,0.01,500,0.32
peer_gaming,1.0,z6,0.001,500,0.234
peer_gaming,1.0,z8,0.05,500,0.048
peer_gaming,1.0,z8,0.01,500,0.016
peer_gaming,1.0,z8,0.001,500,0.002
peer_gaming,1.0,z57,0.05,500,0.256
peer_gaming,1.0,z57,0.01,500,0.092
peer_gaming,1.0,z57,0.001,500,0.018
peer_gaming,1.5,z1,0.05,500,0.036
peer_gaming,1.5,z1,0.01,500,0.036
peer_gaming,1.5,z1,0.001,500,0.036
peer_gaming,1.5,z2,0.05,500,0.24
peer_gaming,1.5,z2,0.01,500,0.184
peer_gaming,1.5,z2,0.001,500,0.116
peer_gaming,1.5,z3,0.05,500,0.422
peer_gaming,1.5,z3,0.01,500,0.182
peer_gaming,1.5,z3,0.001,500,0.04
peer_gaming,1.5,z4,0.05,500,0.35
peer_gaming,1.5,z4,0.01,500,0.178
peer_gaming,1.5,z4,0.001,500,0.05
peer_gaming,1.5,z6,0.05,500,0.452
peer_gaming,1.5,z6,0.01,500,0.354
peer_gaming,1.5,z6,0.001,500,0.268
peer_gaming,1.5,z8,0.05,500,0.048
peer_gaming,1.5,z8,0.01,500,0.012
peer_gaming,1.5,z8,0.001,500,0.002
peer_gaming,1.5,z57,0.05,500,0.448
peer_gaming,1.5,z57,0.01,500,0.164
peer_gaming,1.5,z57,0.001,500,0.048
peer_gaming,2.0,z1,0.05,500,0.034
peer_gaming,2.0,z1,0.01,500,0.034
peer_gaming,2.0,z1,0.001,500,0.034
peer_gaming,2.0,z2,0.05,500,0.2
peer_gaming,2.0,z2,0.01,500,0.126
peer_gaming,2.0,z2,0.001,500,0.082
peer_gaming,2.0,z3,0.05,500,0.672
peer_gaming,2.0,z3,0.01,500,0.36
peer_gaming,2.0,z3,0.001,500,0.118
peer_gaming,2.0,z4,0.05,500,0.588
peer_gaming,2.0,z4,0.01,500,0.33
peer_gaming,2.0,z4,0.001,500,0.13
peer_gaming,2.0,z6,0.05,500,0.414
peer_gaming,2.0,z6,0.01,500,0.332
peer_gaming,2.0,z6,0.001,500,0.254
peer_gaming,2.0,z8,0.05,500,0.042
peer_gaming,2.0,z8,0.01,500,0.006
peer_gaming,2.0,z8,0.001,500,0.0
peer_gaming,2.0,z57,0.05,500,0.612
peer_gaming,2.0,z57,0.01,500,0.302
peer_gaming,2.0,z57,0.001,500,0.098
peer_gaming,3.0,z1,0.05,500,0.028
peer_gaming,3.0,z1,0.01,500,0.028
peer_gaming,3.0,z1,0.001,500,0.028
peer_gaming,3.0,z2,0.05,500,0.186
peer_gaming,3.0,z2,0.01,500,0.13
peer_gaming,3.0,z2,0.001,500,0.084
peer_gaming,3.0,z3,0.05,500,0.918
peer_gaming,3.0,z3,0.01,500,0.766
peer_gaming,3.0,z3,0.001,500,0.448
peer_gaming,3.0,z4,0.05,500,0.904
peer_gaming,3.0,z4,0.01,500,0.708
peer_gaming,3.0,z4,0.001,500,0.404
peer_gaming,3.0,z6,0.05,500,0.404
peer_gaming,3.0,z6,0.01,500,0.314
peer_gaming,3.0,z6,0.001,500,0.258
peer_gaming,3.0,z8,0.05,500,0.04
peer_gaming,3.0,z8,0.01,500,0.01
peer_gaming,3.0,z8,0.001,500,0.0
peer_gaming,3.0,z57,0.05,500,0.928
peer_gaming,3.0,z57,0.01,500,0.734
peer_gaming,3.0,z57,0.001,500,0.414
systematic,0.5,z1,0.05,500,0.11
systematic,0.5,z1,0.01,500,0.04
systematic,0.5,z1,0.001,500,0.04
systematic,0.5,z2,0.05,500,0.286
systematic,0.5,z2,0.01,500,0.194
systematic,0.5,z2,0.001,500,0.12
systematic,0.5,z3,0.05,500,0.114
systematic,0.5,z3,0.01,500,0.026
systematic,0.5,z3,0.001,500,0.01
systematic,0.5,z4,0.05,500,0.1
systematic,0.5,z4,0.01,500,0.016
systematic,0.5,z4,0.001,500,0.002
systematic,0.5,z6,0.05,500,0.534
systematic,0.5,z6,0.01,500,0.44
systematic,0.5,z6,0.001,500,0.36
systematic,0.5,z8,0.05,500,0.056
systematic,0.5,z8,0.01,500,0.01
systematic,0.5,z8,0.001,500,0.002
systematic,0.5,z57,0.05,500,0.106
systematic,0.5,z57,0.01,500,0.024
systematic,0.5,z57,0.001,500,0.014
systematic,1.0,z1,0.05,500,0.238
systematic,1.0,z1,0.01,500,0.112
systematic,1.0,z1,0.001,500,0.042
systematic,1.0,z2,0.05,500,0.36
systematic,1.0,z2,0.01,500,0.276
systematic,1.0,z2,0.001,500,0.174
systematic,1.0,z3,0.05,500,0.292
systematic,1.0,z3,0.01,500,0.094
systematic,1.0,z3,0.001,500,0.01
systematic,1.0,z4,0.05,500,0.21
systematic,1.0,z4,0.01,500,0.084
systematic,1.0,z4,0.001,500,0.014
systematic,1.0,z6,0.05,500,0.618
systematic,1.0,z6,0.01,500,0.504
systematic,1.0,z6,0.001,500,0.392
systematic,1.0,z8,0.05,500,0.038
systematic,1.0,z8,0.01,500,0.018
systematic,1.0,z8,0.001,500,0.0
systematic,1.0,z57,0.05,500,0.24
systematic,1.0,z57,0.01,500,0.068
systematic,1.0,z57,0.001,500,0.016
systematic,1.5,z1,0.05,500,0.404
