archetype,delta,detector,alpha,n_finite,flag_rate
temporal_smoothing,2.0,z1,0.01,500,0.042
temporal_smoothing,2.0,z1,0.001,500,0.042
temporal_smoothing,2.0,z2,0.05,500,0.254
temporal_smoothing,2.0,z2,0.01,500,0.182
temporal_smoothing,2.0,z2,0.001,500,0.124
temporal_smoothing,2.0,z3,0.05,500,0.038
temporal_smoothing,2.0,z3,0.01,500,0.006
temporal_smoothing,2.0,z3,0.001,500,0.002
temporal_smoothing,2.0,z4,0.05,500,0.062
temporal_smoothing,2.0,z4,0.01,500,0.012
temporal_smoothing,2.0,z4,0.001,500,0.004
temporal_smoothing,2.0,z6,0.05,500,0.66
temporal_smoothing,2.0,z6,0.01,500,0.506
temporal_smoothing,2.0,z6,0.001,500,0.378
temporal_smoothing,2.0,z8,0.05,500,0.07
temporal_smoothing,2.0,z8,0.01,500,0.012
temporal_smoothing,2.0,z8,0.001,500,0.0
temporal_smoothing,2.0,z57,0.05,500,0.052
temporal_smoothing,2.0,z57,0.01,500,0.018
temporal_smoothing,2.0,z57,0.001,500,0.018
temporal_smoothing,3.0,z1,0.05,500,0.05
temporal_smoothing,3.0,z1,0.01,500,0.05
temporal_smoothing,3.0,z1,0.001,500,0.05
temporal_smoothing,3.0,z2,0.05,500,0.226
temporal_smoothing,3.0,z2,0.01,500,0.162
temporal_smoothing,3.0,z2,0.001,500,0.092
temporal_smoothing,3.0,z3,0.05,500,0.028
temporal_smoothing,3.0,z3,0.01,500,0.004
temporal_smoothing,3.0,z3,0.001,500,0.0
temporal_smoothing,3.0,z4,0.05,500,0.042
temporal_smoothing,3.0,z4,0.01,500,0.012
temporal_smoothing,3.0,z4,0.001,500,0.0
temporal_smoothing,3.0,z6,0.05,500,0.886
temporal_smoothing,3.0,z6,0.01,500,0.742
temporal_smoothing,3.0,z6,0.001,500,0.588
temporal_smoothing,3.0,z8,0.05,500,0.052
temporal_smoothing,3.0,z8,0.01,500,0.012
temporal_smoothing,3.0,z8,0.001,500,0.004
temporal_smoothing,3.0,z57,0.05,500,0.068
temporal_smoothing,3.0,z57,0.01,500,0.018
temporal_smoothing,3.0,z57,0.001,500,0.018
peer_gaming,0.5,z1,0.05,500,0.042
peer_gaming,0.5,z1,0.01,500,0.042
peer_gaming,0.5,z1,0.001,500,0.042
peer_gaming,0.5,z2,0.05,500,0.256
peer_gaming,0.5,z2,0.01,500,0.164
peer_gaming,0.5,z2,0.001,500,0.102
peer_gaming,0.5,z3,0.05,500,0.088
peer_gaming,0.5,z3,0.01,500,0.026
peer_gaming,0.5,z3,0.001,500,0.004
peer_gaming,0.5,z4,0.05,500,0.13
peer_gaming,0.5,z4,0.01,500,0.028
peer_gaming,0.5,z4,0.001,500,0.006
peer_gaming,0.5,z6,0.05,500,0.278
peer_gaming,0.5,z6,0.01,500,0.2
peer_gaming,0.5,z6,0.001,500,0.154
peer_gaming,0.5,z8,0.05,500,0.05
peer_gaming,0.5,z8,0.01,500,0.006
peer_gaming,0.5,z8,0.001,500,0.0
peer_gaming,0.5,z57,0.05,500,0.126
peer_gaming,0.5,z57,0.01,500,0.024
peer_gaming,0.5,z57,0.001,500,0.012
peer_gaming,1.0,z1,0.05,500,0.06
peer_gaming,1.0,z1,0.01,500,0.06
peer_gaming,1.0,z1,0.001,500,0.06
peer_gaming,1.0,z2,0.05,500,0.244
peer_gaming,1.0,z2,0.01,500,0.166
