archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,1.5,z_mahalanobis_sq,0.05,500,0.064
temporal_smoothing,1.5,z_mahalanobis_sq,0.01,500,0.01
temporal_smoothing,1.5,z_mahalanobis_sq,0.001,500,0.0
temporal_smoothing,1.5,t_iut,0.05,500,0.104
temporal_smoothing,1.5,t_iut,0.01,500,0.018
temporal_smoothing,1.5,t_iut,0.001,500,0.0
temporal_smoothing,1.5,z_plus_softmax,0.05,500,0.112
temporal_smoothing,1.5,z_plus_softmax,0.01,500,0.1
temporal_smoothing,1.5,z_plus_softmax,0.001,500,0.092
temporal_smoothing,1.5,z_plus_orth,0.05,500,0.11
temporal_smoothing,1.5,z_plus_orth,0.01,500,0.096
temporal_smoothing,1.5,z_plus_orth,0.001,500,0.092
temporal_smoothing,2.0,z_plus,0.05,500,0.098
temporal_smoothing,2.0,z_plus,0.01,500,0.038
temporal_smoothing,2.0,z_plus,0.001,500,0.006
temporal_smoothing,2.0,z_plus_renorm,0.05,499,0.0981963927855711
temporal_smoothing,2.0,z_plus_renorm,0.01,499,0.0140280561122244
temporal_smoothing,2.0,z_plus_renorm,0.001,499,0.0
temporal_smoothing,2.0,breadth,0.05,500,0.018
temporal_smoothing,2.0,breadth,0.01,500,0.0
temporal_smoothing,2.0,breadth,0.001,500,0.0
temporal_smoothing,2.0,z_mahalanobis_sq,0.05,500,0.094
temporal_smoothing,2.0,z_mahalanobis_sq,0.01,500,0.022
temporal_smoothing,2.0,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,2.0,t_iut,0.05,500,0.072
temporal_smoothing,2.0,t_iut,0.01,500,0.012
temporal_smoothing,2.0,t_iut,0.001,500,0.0
temporal_smoothing,2.0,z_plus_softmax,0.05,499,0.1242484969939879
temporal_smoothing,2.0,z_plus_softmax,0.01,499,0.1102204408817635
temporal_smoothing,2.0,z_plus_softmax,0.001,499,0.1102204408817635
temporal_smoothing,2.0,z_plus_orth,0.05,499,0.1222444889779559
temporal_smoothing,2.0,z_plus_orth,0.01,499,0.1142284569138276
temporal_smoothing,2.0,z_plus_orth,0.001,499,0.1102204408817635
temporal_smoothing,3.0,z_plus,0.05,500,0.142
temporal_smoothing,3.0,z_plus,0.01,500,0.048
