archetype,delta,detector,alpha,n_finite,flag_rate
round_number,1.0,z2,0.05,500,0.376
round_number,1.0,z2,0.01,500,0.222
round_number,1.0,z2,0.001,500,0.172
round_number,1.0,z3,0.05,500,0.028
round_number,1.0,z3,0.01,500,0.0
round_number,1.0,z3,0.001,500,0.0
round_number,1.0,z4,0.05,500,0.024
round_number,1.0,z4,0.01,500,0.024
round_number,1.0,z4,0.001,500,0.024
round_number,1.0,z6,0.05,500,0.236
round_number,1.0,z6,0.01,500,0.194
round_number,1.0,z6,0.001,500,0.148
round_number,1.0,z8,0.05,500,0.05
round_number,1.0,z8,0.01,500,0.016
round_number,1.0,z8,0.001,500,0.012
round_number,1.0,z57,0.05,500,0.026
round_number,1.0,z57,0.01,500,0.008
round_number,1.0,z57,0.001,500,0.002
round_number,1.5,z1,0.05,500,0.444
round_number,1.5,z1,0.01,500,0.136
round_number,1.5,z1,0.001,500,0.126
round_number,1.5,z2,0.05,500,0.532
round_number,1.5,z2,0.01,500,0.37
round_number,1.5,z2,0.001,500,0.224
round_number,1.5,z3,0.05,500,0.046
round_number,1.5,z3,0.01,500,0.0
round_number,1.5,z3,0.001,500,0.0
round_number,1.5,z4,0.05,500,0.026
round_number,1.5,z4,0.01,500,0.026
round_number,1.5,z4,0.001,500,0.026
round_number,1.5,z6,0.05,500,0.238
round_number,1.5,z6,0.01,500,0.184
round_number,1.5,z6,0.001,500,0.136
round_number,1.5,z8,0.05,500,0.064
round_number,1.5,z8,0.01,500,0.008
round_number,1.5,z8,0.001,500,0.002
round_number,1.5,z57,0.05,500,0.044
round_number,1.5,z57,0.01,500,0.018
round_number,1.5,z57,0.001,500,0.008
round_number,2.0,z1,0.05,500,0.626
round_number,2.0,z1,0.01,500,0.33
round_number,2.0,z1,0.001,500,0.138
round_number,2.0,z2,0.05,500,0.638
round_number,2.0,z2,0.01,500,0.444
round_number,2.0,z2,0.001,500,0.296
round_number,2.0,z3,0.05,500,0.03
round_number,2.0,z3,0.01,500,0.0
round_number,2.0,z3,0.001,500,0.0
round_number,2.0,z4,0.05,500,0.014
round_number,2.0,z4,0.01,500,0.014
round_number,2.0,z4,0.001,500,0.014
round_number,2.0,z6,0.05,500,0.25
round_number,2.0,z6,0.01,500,0.19
round_number,2.0,z6,0.001,500,0.142
round_number,2.0,z8,0.05,500,0.046
round_number,2.0,z8,0.01,500,0.02
round_number,2.0,z8,0.001,500,0.012
round_number,2.0,z57,0.05,500,0.042
round_number,2.0,z57,0.01,500,0.01
round_number,2.0,z57,0.001,500,0.008
round_number,3.0,z1,0.05,500,0.918
round_number,3.0,z1,0.01,500,0.78
round_number,3.0,z1,0.001,500,0.5
round_number,3.0,z2,0.05,500,0.834
round_number,3.0,z2,0.01,500,0.714
round_number,3.0,z2,0.001,500,0.508
round_number,3.0,z3,0.05,500,0.034
round_number,3.0,z3,0.01,500,0.0
round_number,3.0,z3,0.001,500,0.0
round_number,3.0,z4,0.05,500,0.028
round_number,3.0,z4,0.01,500,0.028
round_number,3.0,z4,0.001,500,0.028
round_number,3.0,z6,0.05,500,0.222
round_number,3.0,z6,0.01,500,0.176
round_number,3.0,z6,0.001,500,0.128
round_number,3.0,z8,0.05,500,0.04
round_number,3.0,z8,0.01,500,0.008
round_number,3.0,z8,0.001,500,0.004
round_number,3.0,z57,0.05,500,0.04
round_number,3.0,z57,0.01,500,0.014
round_number,3.0,z57,0.001,500,0.006
temporal_smoothing,0.5,z1,0.05,500,0.132
temporal_smoothing,0.5,z1,0.01,500,0.132
temporal_smoothing,0.5,z1,0.001,500,0.132
temporal_smoothing,0.5,z2,0.05,500,0.166
temporal_smoothing,0.5,z2,0.01,500,0.1
temporal_smoothing,0.5,z2,0.001,500,0.058
temporal_smoothing,0.5,z3,0.05,500,0.038
temporal_smoothing,0.5,z3,0.01,500,0.0
temporal_smoothing,0.5,z3,0.001,500,0.0
temporal_smoothing,0.5,z4,0.05,500,0.024
temporal_smoothing,0.5,z4,0.01,500,0.024
temporal_smoothing,0.5,z4,0.001,500,0.024
temporal_smoothing,0.5,z6,0.05,500,0.35
temporal_smoothing,0.5,z6,0.01,500,0.27
temporal_smoothing,0.5,z6,0.001,500,0.182
temporal_smoothing,0.5,z8,0.05,500,0.048
temporal_smoothing,0.5,z8,0.01,500,0.004
temporal_smoothing,0.5,z8,0.001,500,0.002
temporal_smoothing,0.5,z57,0.05,500,0.032
temporal_smoothing,0.5,z57,0.01,500,0.004
temporal_smoothing,0.5,z57,0.001,500,0.0
temporal_smoothing,1.0,z1,0.05,500,0.148
temporal_smoothing,1.0,z1,0.01,500,0.148
temporal_smoothing,1.0,z1,0.001,500,0.148
temporal_smoothing,1.0,z2,0.05,500,0.214
temporal_smoothing,1.0,z2,0.01,500,0.104
temporal_smoothing,1.0,z2,0.001,500,0.056
temporal_smoothing,1.0,z3,0.05,500,0.046
temporal_smoothing,1.0,z3,0.01,500,0.0
temporal_smoothing,1.0,z3,0.001,500,0.0
temporal_smoothing,1.0,z4,0.05,500,0.02
temporal_smoothing,1.0,z4,0.01,500,0.02
temporal_smoothing,1.0,z4,0.001,500,0.02
temporal_smoothing,1.0,z6,0.05,500,0.444
temporal_smoothing,1.0,z6,0.01,500,0.346
temporal_smoothing,1.0,z6,0.001,500,0.242
temporal_smoothing,1.0,z8,0.05,500,0.048
temporal_smoothing,1.0,z8,0.01,500,0.016
temporal_smoothing,1.0,z8,0.001,500,0.008
temporal_smoothing,1.0,z57,0.05,500,0.02
temporal_smoothing,1.0,z57,0.01,500,0.004
temporal_smoothing,1.0,z57,0.001,500,0.004
temporal_smoothing,1.5,z1,0.05,500,0.15
temporal_smoothing,1.5,z1,0.01,500,0.15
temporal_smoothing,1.5,z1,0.001,500,0.15
temporal_smoothing,1.5,z2,0.05,500,0.212
temporal_smoothing,1.5,z2,0.01,500,0.114
temporal_smoothing,1.5,z2,0.001,500,0.058
temporal_smoothing,1.5,z3,0.05,500,0.05
temporal_smoothing,1.5,z3,0.01,500,0.0
